V1	V(n001)	V(n002)	I(R1)
2.910000000000000e+00	2.910000e+00	1.974187e+00	1.974187e-01
2.920000000000000e+00	2.920000e+00	1.983449e+00	1.983449e-01
2.930000000000000e+00	2.930000e+00	1.992712e+00	1.992712e-01
2.940000000000000e+00	2.940000e+00	2.001976e+00	2.001975e-01
2.950000000000000e+00	2.950000e+00	2.011240e+00	2.011240e-01
2.960000000000000e+00	2.960000e+00	2.020505e+00	2.020506e-01
2.970000000000000e+00	2.970000e+00	2.029772e+00	2.029772e-01
2.980000000000000e+00	2.980000e+00	2.039039e+00	2.039039e-01
2.990000000000000e+00	2.990000e+00	2.048307e+00	2.048307e-01
3.000000000000000e+00	3.000000e+00	2.057576e+00	2.057576e-01
3.010000000000000e+00	3.010000e+00	2.066846e+00	2.066846e-01
3.020000000000000e+00	3.020000e+00	2.076116e+00	2.076116e-01
3.030000000000000e+00	3.030000e+00	2.085388e+00	2.085388e-01
3.040000000000000e+00	3.040000e+00	2.094660e+00	2.094660e-01
3.050000000000000e+00	3.050000e+00	2.103933e+00	2.103933e-01
3.060000000000000e+00	3.060000e+00	2.113207e+00	2.113207e-01
3.070000000000000e+00	3.070000e+00	2.122482e+00	2.122482e-01
3.080000000000000e+00	3.080000e+00	2.131757e+00	2.131758e-01
3.090000000000000e+00	3.090000e+00	2.141034e+00	2.141034e-01
3.100000000000000e+00	3.100000e+00	2.150311e+00	2.150311e-01
3.110000000000000e+00	3.110000e+00	2.159589e+00	2.159589e-01
3.120000000000000e+00	3.120000e+00	2.168868e+00	2.168868e-01
3.130000000000000e+00	3.130000e+00	2.178147e+00	2.178147e-01
3.140000000000000e+00	3.140000e+00	2.187427e+00	2.187427e-01
3.150000000000000e+00	3.150000e+00	2.196708e+00	2.196708e-01
3.160000000000000e+00	3.160000e+00	2.205990e+00	2.205990e-01
3.170000000000000e+00	3.170000e+00	2.215272e+00	2.215272e-01
3.180000000000000e+00	3.180000e+00	2.224556e+00	2.224556e-01
3.190000000000000e+00	3.190000e+00	2.233840e+00	2.233840e-01
3.200000000000000e+00	3.200000e+00	2.243124e+00	2.243124e-01
3.210000000000000e+00	3.210000e+00	2.252410e+00	2.252410e-01
3.220000000000000e+00	3.220000e+00	2.261696e+00	2.261696e-01
3.230000000000000e+00	3.230000e+00	2.270983e+00	2.270983e-01
3.240000000000000e+00	3.240000e+00	2.280270e+00	2.280270e-01
3.250000000000000e+00	3.250000e+00	2.289558e+00	2.289558e-01
3.260000000000000e+00	3.260000e+00	2.298847e+00	2.298847e-01
3.270000000000000e+00	3.270000e+00	2.308137e+00	2.308137e-01
3.280000000000000e+00	3.280000e+00	2.317427e+00	2.317427e-01
3.290000000000000e+00	3.290000e+00	2.326718e+00	2.326718e-01
3.300000000000000e+00	3.300000e+00	2.336010e+00	2.336010e-01
3.310000000000000e+00	3.310000e+00	2.345302e+00	2.345302e-01
3.320000000000000e+00	3.320000e+00	2.354595e+00	2.354595e-01
3.330000000000000e+00	3.330000e+00	2.363889e+00	2.363889e-01
3.340000000000000e+00	3.340000e+00	2.373183e+00	2.373183e-01
3.350000000000000e+00	3.350000e+00	2.382478e+00	2.382478e-01
3.360000000000000e+00	3.360000e+00	2.391773e+00	2.391773e-01
3.370000000000000e+00	3.370000e+00	2.401070e+00	2.401070e-01
3.380000000000000e+00	3.380000e+00	2.410366e+00	2.410366e-01
3.390000000000000e+00	3.390000e+00	2.419664e+00	2.419664e-01
